room,hall,bathroom,size,floor,subway_distance,attention,visit,unit_price,price
3,1,1,89.44,16,596,2,4,50313,450
2,1,1,53.86,7,469,7,2,82993,447
2,1,1,68.2,16,741,15,5,51320,350
3,1,1,72.48,6,712,15,3,64156,465
3,1,1,114.79,7,828,1,1,42251,485
3,2,2,196.7,22,1057,2,3,61007,1200
1,1,1,48.37,6,,6,1,48584,235
3,1,1,91.1,18,1010,9,5,140505,1280
1,1,1,44.68,16,418,15,8,89973,402
2,1,1,57.09,6,714,7,7,65160,372
2,1,1,109.37,24,938,2,1,70403,770
3,2,2,202.02,16,338,3,3,93555,1890
5,2,3,229.32,6,296,2,5,100297,2300
2,1,1,67.62,6,958,10,13,62851,425
2,1,1,53.4,5,1382,13,10,85955,459
3,1,1,77.47,24,1042,6,10,63896,495
3,1,1,71.7,18,1010,11,13,132497,950
3,1,1,95.83,14,819,12,6,50089,480
4,1,1,121.4,17,345,2,10,122735,1490
2,1,1,62.65,19,426,16,13,60654,380
3,1,1,69.3,6,345,9,9,125541,870
2,1,1,54.2,6,719,2,14,138376,750
2,1,1,55.88,4,577,6,15,124911,698
3,1,1,92.75,27,304,11,14,65768,610
2,1,1,50.85,5,597,6,7,68437,348
1,1,1,53.01,14,387,1,4,120732,640
2,1,1,88.78,22,,7,2,69836,620
1,1,1,52.48,6,213,4,3,47447,249
3,1,1,71.99,12,626,12,4,93763,675
1,1,1,56.65,21,346,2,6,73257,415
2,2,2,128.45,25,365,0,4,74737,960
4,2,3,234.59,12,687,6,3,82996,1947
1,1,1,71.36,25,630,0,7,55914,399
3,2,2,135.97,23,630,1,1,58837,800
1,1,1,64.97,28,986,2,7,56949,370
1,1,1,68.48,32,417,8,4,68049,466
2,1,1,66.09,16,483,3,2,83976,555
2,1,2,99.84,25,675,8,7,49880,498
3,2,1,102.31,20,,3,1,42029,430
2,2,1,102.17,20,490,3,8,66066,675
1,1,1,42.43,6,1108,6,8,70705,300
3,1,1,94.99,11,461,3,2,48216,458
3,1,1,69.32,6,1100,16,6,93191,646
1,1,1,64.4,18,1027,4,2,89286,575
2,1,1,62.65,19,426,12,4,62251,390
3,1,1,74.58,6,707,11,5,65701,490
1,1,1,66.14,6,1004,2,0,51406,340
3,2,2,134.73,17,1058,2,0,61605,830
1,1,1,64.76,15,797,2,0,86473,560
1,1,1,46.05,14,607,23,0,53203,245
3,2,2,114.36,6,1186,0,0,42847,490
3,1,1,80.1,25,1117,12,0,52185,418
2,2,2,121.44,27,1196,4,2,62582,760
1,1,1,59.48,31,,2,6,55481,330
3,1,1,77.5,18,1149,17,2,53935,418
2,1,1,104.97,18,570,15,5,61922,650
3,1,1,79.4,4,1116,7,4,79975,635
2,2,2,99.85,25,675,4,0,50976,509
2,1,1,84.34,8,943,1,0,66398,560
2,2,2,105.59,24,804,5,0,60612,640
3,1,1,72.4,6,362,1,0,105663,765
2,1,1,87.34,16,762,0,0,55874,488
2,1,1,54.7,6,426,4,0,67642,370
3,2,2,120.76,21,760,2,1,72872,880
2,2,1,88.32,19,797,0,0,64312,568
1,1,1,43.17,6,446,0,0,116979,505
3,2,1,108.8,7,632,3,0,101103,1100
1,1,1,45.62,15,1099,28,0,80009,365
3,2,2,208.24,7,750,10,0,75874,1580
3,1,1,63.09,5,472,17,10,84007,530
3,1,2,134.03,12,254,23,0,54465,730
2,1,1,60.21,6,528,10,22,54476,328
3,1,1,68.32,14,473,9,26,68794,470
2,1,1,101.93,16,1197,1,13,90258,920
1,1,1,40.87,6,953,3,12,144360,590
4,1,3,245.19,7,711,2,2,22799,559
3,2,2,107.07,22,,1,1,48099,515
3,2,2,112.81,7,612,5,5,111692,1260
3,2,2,151.55,21,1100,0,2,49489,750
3,1,1,73.2,6,449,32,29,106557,780
3,2,2,127.99,25,230,1,24,85944,1100
2,1,1,66.38,6,1245,11,19,46701,310
2,1,1,49.01,6,615,6,28,62130,304
2,2,1,124.57,22,583,3,21,50574,630
3,1,1,85.03,14,705,6,20,88204,750
2,1,1,57,5,690,6,17,91228,520
3,1,1,82.6,17,620,4,26,133051,1099
3,1,1,79.16,25,368,2,19,75543,598
2,1,1,50.5,6,545,6,27,106931,540
1,1,1,38.92,5,722,34,24,58582,228
2,2,1,100.13,30,631,2,17,48437,485
2,1,1,67.46,29,218,13,17,53365,360
2,1,1,88.91,29,735,1,13,50501,449
2,1,1,59.9,7,1053,15,22,52588,315
3,1,1,71.7,6,1390,9,24,135286,970
1,1,1,52.24,28,855,21,20,48622,254
2,1,1,67.78,6,312,11,18,60490,410
3,2,2,144.6,12,677,5,20,40802,590
3,1,1,89.93,15,1084,7,20,40031,360
2,1,1,56.46,6,420,15,18,57563,325
1,1,1,45.1,6,484,8,17,115299,520
3,2,2,199.67,33,327,10,20,27045,540
2,2,1,93.92,9,990,2,16,48445,455
2,1,1,67.1,15,517,8,18,81967,550
2,2,1,83.1,18,333,10,18,74368,618
2,1,1,69.74,22,289,2,28,45168,315
2,1,1,71.67,6,,16,19,29999,215
2,1,1,63.95,16,633,14,18,61767,395
2,1,1,85.11,13,500,7,17,72612,618
2,1,1,64.5,6,392,30,13,69767,450
2,2,1,87.15,21,328,13,23,34423,300
1,1,1,46.72,16,318,35,33,57791,270
2,1,1,64.72,6,497,6,18,88072,570
2,1,1,52.45,6,497,13,20,89990,472
2,1,1,55.2,6,816,19,22,132246,730
2,1,1,97.15,16,269,0,1,40968,398
2,1,1,64.4,6,973,1,1,92391,595
1,1,1,47.96,15,871,3,4,72977,350
2,1,1,54.2,6,406,0,8,149815,812
3,1,1,52.99,6,540,5,3,66050,350
2,1,1,90.18,15,868,3,12,33821,305
2,1,1,89.88,11,1181,0,12,72319,650
2,1,1,50.2,4,1320,2,9,121514,610
3,1,1,57,5,784,3,16,92281,526
2,1,1,54.4,6,633,4,12,84191,458
3,1,1,68.52,6,453,9,8,62901,431
2,2,1,85.28,30,1047,0,1,77392,660
2,1,1,66.4,26,541,0,2,67018,445
2,1,1,69.4,24,698,7,2,50432,350
2,1,1,71.55,6,1263,0,2,90846,650
3,2,2,116.07,6,1229,1,1,37908,440
3,1,1,81.06,22,868,3,5,85122,690
2,1,1,74.01,24,551,5,1,58776,435
1,1,1,70.15,7,287,2,2,55025,386
3,1,1,96.58,20,,2,3,46593,450
1,1,1,28.28,7,492,1,3,107850,305
2,1,1,60.9,6,652,1,4,73892,450
2,1,1,88.53,11,295,1,4,66644,590
2,1,1,66.49,6,1053,1,4,50835,338
3,2,2,116.93,10,637,1,6,38485,450
2,1,1,85.24,27,162,2,4,37541,320
2,1,1,86.01,23,1249,4,3,69411,597
3,1,1,60.07,6,505,1,5,74080,445
2,1,1,87.49,14,,1,1,49949,437
4,1,2,91.4,6,477,1,4,105033,960
2,1,1,84.57,7,,6,9,35237,298
3,2,2,155.5,18,471,1,3,80386,1250
2,1,1,97.17,7,763,0,2,99825,970
1,1,1,43.74,20,986,9,7,52583,230
2,1,1,72.11,23,691,4,8,47150,340
2,1,1,73.42,6,992,1,2,57205,420
2,1,1,67.21,21,,4,2,42404,285
2,1,1,87.42,21,448,5,2,46900,410
2,1,1,45.24,10,25,6,8,119363,540
