direct,actor,date,long,type,rate,comment_sum,name,money,year,country
詹姆斯·古恩,克里斯·帕拉特,2017-05-05,136.0,动作 ,8.0,270335.0,银河护卫队2,68611,2017,usa
斯蒂文·S·迪奈特,约翰·博耶加,2018-03-23,111.0,动作 ,5.4,144575.0,环太平洋,69475,2013,usa
佩顿·里德,保罗·路德,2015-10-16,117.0,动作 ,7.6,258420.0,蚁人,67176,2015,usa
布拉德·伯德,汤姆·克鲁斯,2012-01-28,133.0,动作 ,8.3,289086.0,碟中谍4,67225,2012,usa
罗森·马歇尔·瑟伯,道恩·强森,2018-07-20,102.0,动作 ,6.4,87929.0,摩天营救,66975,2018,usa
瑞恩·库格勒,查德维克·博斯曼,2018-03-09,134.0,动作 ,6.4,232402.0,黑豹,66259,2018,usa
布拉德·佩顿,道恩·强森,2015-06-02,114.0,动作 ,7.0,103490.0,末日崩塌,62967,2015,usa
朱浩伟,杰西·艾森伯格,2016-06-24,130.0,剧情 ,6.6,155061.0,惊天魔盗团2,63897,2016,usa
斯蒂文·S·迪奈特,约翰·博耶加,2018-03-23,111.0,动作 ,5.4,144575.0,环太平洋2：雷霆再起,63322,2018,usa
艾里克斯·库兹曼,汤姆·克鲁斯,2017-06-09,110.0,动作 ,4.7,91618.0,新木乃伊,62560,2017,usa
派蒂·杰金斯,盖尔·加朵,2017-06-02,141.0,动作 ,7.1,272389.0,神奇女侠,61010,2017,usa
扎克·施奈德,本·阿弗莱克,2016-03-25,151.0,动作 ,6.7,167128.0,蝙蝠侠大战超人：正义黎明,61910,2016,usa
吕寅荣,杰克·布莱克,2011-05-28,91.0,喜剧 ,8.0,295988.0,功夫熊猫2,61207,2011,usa
拉斯·霍尔斯道姆,乔什·加德,2017-03-03,101.0,剧情 ,7.7,201239.0,一条狗的使命,60808,2017,usa
大卫·叶茨,埃迪·雷德梅恩,2016-11-25,133.0,剧情 ,7.8,338542.0,神奇动物在哪里,59174,2016,usa
詹姆斯·古恩,克里斯·帕拉特,2017-05-05,136.0,动作 ,8.0,270335.0,银河护卫队,59612,2014,usa
比尔·康顿,艾玛·沃森,2017-03-17,129.0,爱情 ,7.1,204112.0,美女与野兽,59165,2017,usa
罗兰·艾默里奇,约翰·库萨克,2009-11-13,158.0,动作 ,7.8,327333.0,2012世界末日,58812,2009,usa
雷德利·斯科特,马特·达蒙,2015-11-25,144.0,剧情 ,8.4,349623.0,火星救援,58690,2015,usa
马克·韦布,安德鲁·加菲尔德,2014-05-04,142.0,动作 ,7.3,152471.0,超凡蜘蛛侠2,58559,2014,usa
李安,苏拉·沙玛,2012-11-22,127.0,剧情 ,9.0,717809.0,少年派的奇幻漂流,57290,2012,usa
乔斯·韦登,小罗伯特·唐尼,2012-05-05,142.0,动作 ,8.1,391766.0,复仇者联盟,56851,2012,usa
唐·霍尔 ,斯科特·安第斯,2015-02-28,102.0,喜剧 ,8.6,452393.0,超能陆战队,52644,2015,usa
萨姆·门德斯,丹尼尔·克雷格,2015-11-13,148.0,动作 ,6.2,124628.0,007：幽灵党,54209,2015,usa
巴里·索南菲尔德,威尔·史密斯,2012-05-25,103.0,喜剧 ,7.5,194798.0,黑衣人3,50343,2012,usa
费格尔·雷利 ,杰森·苏戴奇斯,2016-05-20,97.0,喜剧 ,7.0,74950.0,愤怒的小鸟,51398,2016,usa
罗兰·艾默里奇,利亚姆·海姆斯沃斯,2016-06-24,120.0,动作 ,5.6,84703.0,独立日：卷土重来,50324,2016,usa
罗阿尔·乌索格,艾丽西亚·维坎德,2018-03-16,118.0,动作 ,6.0,100155.0,古墓丽影：源起之战,49747,2018,usa
加里斯·爱德华斯,亚伦·泰勒-约翰逊,2014-06-13,123.0,动作 ,6.4,114468.0,哥斯拉,48142,2014,usa
杰克·卡斯丹,道恩·强森,2018-01-12,119.0,动作 ,6.9,117500.0,勇敢者游戏：决战丛林,49193,2018,usa
加里斯·爱德华斯,菲丽希缇·琼斯,2017-01-06,134.0,动作 ,7.3,125210.0,星球大战外传：侠盗一号,47818,2017,usa
马修·沃恩,塔伦·埃格顿,2017-10-20,141.0,喜剧 ,6.9,224526.0,王牌特工2：黄金圈,47385,2017,usa
罗伯·马歇尔,约翰尼·德普,2011-05-20,136.0,动作 ,7.5,229180.0,加勒比海盗4：惊涛怪浪,46447,2011,usa
彼得·杰克逊,伊恩·麦克莱恩,2014-02-21,161.0,动作 ,8.2,218577.0,霍比特人2：史矛革之战,46272,2014,usa
克里斯托弗·诺兰,莱昂纳多·迪卡普里奥,2010-09-01,148.0,剧情 ,9.3,966459.0,盗梦空间,46236,2010,usa
帕特里克·休斯,西尔维斯特·史泰龙,2014-09-01,126.0,动作 ,6.7,81053.0,敢死队3,45327,2014,usa
麦克·特米尔 ,阿兹·安萨里,2012-07-27,88.0,喜剧 ,8.0,158629.0,冰川时代4：大陆漂移,44743,2012,usa
麦克·特米尔 ,西蒙·佩吉,2016-08-23,94.0,喜剧 ,6.7,47734.0,冰川时代5：星际碰撞,44730,2016,usa
保罗·格林格拉斯,马特·达蒙,2016-08-23,123.0,动作 ,7.3,131437.0,谍影重重5,44714,2016,usa
林诣彬,克里斯·派恩,2016-09-02,122.0,动作 ,7.3,102353.0,星际迷航3：超越星辰,44101,2016,usa
凯尔·巴尔达 ,桑德拉·布洛克,2015-09-13,91.0,喜剧 ,7.4,154248.0,小黄人大眼萌,43580,2015,usa
肯尼思·布拉纳,莉莉·詹姆斯,2015-03-13,106.0,爱情 ,6.8,134251.0,灰姑娘,44478,2015,usa
阿方索·卡隆,桑德拉·布洛克,2013-11-19,91.0,科幻 ,7.8,278126.0,地心引力,43564,2013,usa
迪安·德夫林,杰拉德·巴特勒,2017-10-27,109.0,动作 ,6.0,58182.0,全球风暴,43380,2017,usa
梅尔·吉布森,安德鲁·加菲尔德,2016-12-08,139.0,剧情 ,8.7,386475.0,血战钢锯岭,42659,2016,usa
林诣彬,范·迪塞尔,2013-07-26,130.0,动作 ,7.7,171596.0,速度与激情6,41331,2013,usa
斯科特·沃,亚伦·保尔,2014-03-14,130.0,剧情 ,7.2,71597.0,极品飞车,41168,2014,usa
鲍德熹 ,陈坤,2015-02-19,118.0,动作 ,4.2,63248.0,钟馗伏魔：雪妖魔灵,40923,2015,usa
道格·里曼,汤姆·克鲁斯,2014-06-06,114.0,动作 ,8.1,281377.0,明日边缘,40642,2014,usa
迈克尔·贝,希亚·拉博夫,2009-06-24,150.0,动作 ,7.6,246352.0,变形金刚2,40366,2009,usa
迪恩·德布洛斯,杰伊·巴鲁切尔,2014-08-14,102.0,喜剧 ,7.9,151584.0,驯龙高手2,40333,2014,usa
大卫·叶茨,丹尼尔·雷德克里夫,2011-08-04,130.0,剧情 ,8.7,330806.0,哈利·波特与死亡圣器(下),40245,2011,usa
陈凯歌,王宝强,2015-07-03,123.0,喜剧 ,5.4,141272.0,道士下山,40078,2015,usa
柯克·德·米科 ,尼古拉斯·凯奇,2013-04-20,98.0,喜剧 ,8.7,433933.0,疯狂原始人,39473,2013,usa
扎克·施奈德,亨利·卡维尔,2013-06-20,143.0,动作 ,6.9,138077.0,超人：钢铁之躯,39449,2013,usa
戴夫·格林,梅根·福克斯,2016-07-02,113.0,喜剧 ,6.3,52619.0,忍者神龟2：破影而出,39360,2016,usa
克里斯·雷纳德 ,路易·C·K,2016-08-02,87.0,喜剧 ,7.5,145238.0,爱宠大机密,38924,2016,usa
詹姆斯·博宾,约翰尼·德普,2016-05-27,115.0,奇幻 ,6.7,87139.0,爱丽丝梦游仙境2：镜中奇遇记,38715,2016,usa
乔纳森·里贝斯曼,梅根·福克斯,2014-10-31,101.0,喜剧 ,6.4,85632.0,忍者神龟：变种时代,38679,2014,usa
布拉德·佩顿,道恩·强森,2012-02-10,94.0,动作 ,6.2,56723.0,地心历险记2：神秘岛,38655,2012,usa
亚利桑德罗·冈萨雷斯·伊纳里图,莱昂纳多·迪卡普里奥,2016-03-18,156.0,剧情 ,7.8,238395.0,荒野猎人,37740,2016,usa
萨姆·门德斯,丹尼尔·克雷格,2013-01-21,143.0,动作 ,7.0,179787.0,007：大破天幕杀机,37615,2013,usa
J·J·艾布拉姆斯,克里斯·派恩,2013-05-28,132.0,动作 ,7.9,161034.0,星际迷航：暗黑无界,35298,2013,usa
布拉德·伯德,格雷格·T·尼尔森,2018-06-22,118.0,喜剧 ,8.0,112913.0,超人总动员2,35418,2018,usa
史蒂文·斯皮尔伯格,山姆·尼尔,2013-08-20,,科幻 ,8.0,184094.0,侏罗纪公园,34947,2013,usa
阿兰·泰勒,克里斯·海姆斯沃斯,2013-11-08,112.0,动作 ,7.4,184328.0,雷神2：黑暗世界,34240,2013,usa
大卫·叶茨,埃迪·雷德梅恩,2018-11-16,134.0,奇幻 ,7.2,133581.0,神奇动物：格林德沃之罪,34013,2018,usa
巴巴克·纳加非,杰拉德·巴特勒,2016-04-08,98.0,动作 ,6.1,68784.0,伦敦陷落,33982,2015,usa
克里斯托弗·诺兰,菲恩·怀特海德,2017-09-01,107.0,剧情 ,8.4,387808.0,敦刻尔克,33960,2017,usa
丹尼斯·甘塞尔,杰森·斯坦森,2016-10-21,98.0,动作 ,5.6,60862.0,机械师2：复活,33898,2016,usa
朱浩伟,道恩·强森,2013-04-15,107.0,动作 ,6.4,71980.0,特种部队2：全面反击,33806,2013,usa
克里斯托弗·诺兰,克里斯蒂安·贝尔,2012-08-27,165.0,剧情 ,8.6,345683.0,蝙蝠侠：黑暗骑士崛起,33879,2012,usa
西蒙·韦斯特,西尔维斯特·史泰龙,2012-09-04,103.0,动作 ,6.8,103475.0,敢死队2,33218,2012,usa
皮埃尔·柯芬 ,史蒂夫·卡瑞尔,2014-01-10,99.0,喜剧 ,8.0,262509.0,神偷奶爸2,32411,2014,usa
蒂姆·肯德尔,赵薇,2015-06-26,118.0,喜剧 ,4.4,65846.0,横冲直撞好莱坞,32236,2015,usa
肖恩·利维,本·斯蒂勒,2015-01-04,98.0,喜剧 ,7.0,103747.0,博物馆奇妙夜3,32309,2015,usa
彼得·杰克逊,伊恩·麦克莱恩,2013-02-22,169.0,动作 ,8.2,251914.0,霍比特人1：意外旅程,31629,2013,usa
韦斯·鲍尔,迪伦·奥布莱恩,2018-01-26,142.0,动作 ,5.3,51129.0,移动迷宫3：死亡解药,31528,2018,usa
何塞·帕迪里亚,乔尔·金纳曼,2014-02-28,117.0,动作 ,6.3,63301.0,机械战警,31487,2014,usa
莫滕·泰杜姆,詹妮弗·劳伦斯,2017-01-13,116.0,科幻 ,6.9,132989.0,太空旅客,31449,2017,usa
马克·韦布,安德鲁·加菲尔德,2014-05-04,142.0,动作 ,7.3,152471.0,超凡蜘蛛侠,31457,2012,usa
雷德利·斯科特,迈克尔·法斯宾德,2017-06-16,122.0,科幻 ,7.3,160712.0,异形：契约,31117,2017,usa
彼得·博格,泰勒·克奇,2012-04-18,132.0,动作 ,6.6,96581.0,超级战舰,31011,2012,usa
罗伯特·斯特罗姆伯格,安吉丽娜·朱莉,2014-06-20,98.0,动作 ,6.9,130465.0,沉睡魔咒,29625,2014,usa
大卫·叶茨,亚历山大·斯卡斯加德,2016-07-19,110.0,动作 ,6.0,32388.0,泰山归来：险战丛林,30612,2016,usa
克里斯·巴克 ,克里斯汀·贝尔,2014-02-05,102.0,喜剧 ,8.3,348340.0,冰雪奇缘,29836,2014,usa
莉莉·沃卓斯基 ,查宁·塔图姆,2015-03-06,126.0,动作 ,5.4,60871.0,木星上行,28439,2015,usa
莱恩·约翰逊,马克·哈米尔,2018-01-05,152.0,动作 ,7.1,95945.0,星球大战：最后的绝地武士,26794,2018,usa
安德鲁·斯坦顿,泰勒·克奇,2012-03-16,132.0,动作 ,6.3,50051.0,异星战场,26011,2012,usa
袁和平,甄子丹,2016-02-19,103.0,剧情 ,4.7,29733.0,卧虎藏龙：青冥宝剑,25625,2016,usa
安德鲁·斯坦顿 ,艾伦·德杰尼勒斯,2016-06-17,97.0,喜剧 ,7.4,63233.0,海底总动员2：多莉去哪儿,25423,2016,usa
米凯尔·哈弗斯特罗姆,西尔维斯特·史泰龙,2013-11-04,116.0,动作 ,7.6,145220.0,金蝉脱壳,25388,2013,usa
埃里克·达尼尔 ,汤姆·麦格拉思,2014-11-14,92.0,喜剧 ,7.5,84008.0,马达加斯加的企鹅,25321,2014,usa
拉加·高斯内尔,尼尔·帕特里克·哈里斯,2011-08-10,103.0,喜剧 ,7.2,85221.0,蓝精灵,25253,2011,usa
林诣彬,范·迪塞尔,2011-05-12,130.0,动作 ,8.4,232174.0,速度与激情5,25217,2011,usa
埃里克松·科尔,卢克·布雷西,2015-12-04,113.0,动作 ,6.9,71327.0,极盗者,24855,2015,usa
詹姆斯·曼高德,休·杰克曼,2013-10-17,126.0,动作 ,6.3,119868.0,金刚狼2,24971,2013,usa
达米恩·查泽雷,瑞恩·高斯林,2017-02-14,128.0,剧情 ,8.3,428141.0,爱乐之城,24781,2017,usa
卡洛斯·沙尔丹哈,安妮·海瑟薇,2014-04-11,101.0,喜剧 ,7.6,86536.0,里约大冒险2,24246,2014,usa
肯尼思·布拉纳,肯尼思·布拉纳,2017-11-10,114.0,剧情 ,6.9,177952.0,东方快车谋杀案,23003,2017,usa
亚历克斯·普罗亚斯,尼古拉·科斯特-瓦尔道,2016-03-11,127.0,动作 ,6.5,33918.0,神战：权力之眼,23543,2016,usa
蒂姆·波顿,米娅·华希科沃斯卡,2010-03-26,,奇幻 ,7.1,241501.0,爱丽丝梦游仙境,22898,2010,usa
罗恩·克莱蒙兹 ,奥丽伊·卡瓦洛,2016-11-25,107.0,动画 ,7.5,86086.0,海洋奇缘,22702,2016,usa
乔纳森·里贝斯曼,艾伦·艾克哈特,2011-03-18,116.0,动作 ,6.0,87622.0,洛杉矶之战,22604,2011,usa
弗朗西斯·劳伦斯,詹妮弗·劳伦斯,2015-02-08,123.0,动作 ,5.9,100756.0,饥饿游戏3：嘲笑鸟(上),22510,2015,usa
雷德利·斯科特,劳米·拉佩斯,2012-09-02,124.0,科幻 ,7.3,216184.0,普罗米修斯,22321,2012,usa
格恩迪·塔塔科夫斯基,亚当·桑德勒,2018-08-17,98.0,喜剧 ,6.7,50475.0,精灵旅社3：疯狂假期,22292,2018,usa
约翰·卡拉辛斯基,艾米莉·布朗特,2018-05-18,90.0,惊悚 ,6.3,157552.0,寂静之地,22090,2018,usa
西尔维斯特·史泰龙,西尔维斯特·史泰龙,2010-08-20,103.0,动作 ,6.7,131172.0,敢死队,21631,2010,usa
加斯·詹宁斯 ,马修·麦康纳,2017-02-17,108.0,喜剧 ,8.1,151159.0,欢乐好声音,21621,2017,usa
沙恩·布莱克,波伊德·霍布鲁克,2018-10-26,107.0,动作 ,5.0,22663.0,铁血战士,21608,2018,usa
M·奈特·沙马兰,威尔·史密斯,2013-07-12,100.0,动作 ,5.5,52858.0,重返地球,21459,2013,usa
托尼·吉尔罗伊,杰瑞米·雷纳,2012-10-25,135.0,动作 ,6.7,103333.0,谍影重重4,21315,2012,usa
康拉德·弗农 ,本·斯蒂勒,2012-06-08,93.0,喜剧 ,8.2,126136.0,马达加斯加3,21008,2012,usa
约翰·摩尔,布鲁斯·威利斯,2013-03-14,98.0,动作 ,6.2,47419.0,虎胆龙威5,20126,2013,usa
丹·斯坎隆,比利·克里斯托,2013-08-23,104.0,喜剧 ,8.1,215098.0,怪兽大学,20968,2013,usa
鲁伯特·桑德斯,斯嘉丽·约翰逊,2017-04-07,107.0,动作 ,6.4,127273.0,攻壳机动队,20256,2017,usa
韦斯·鲍尔,迪伦·奥布莱恩,2015-11-04,132.0,动作 ,5.7,68476.0,移动迷宫2,19691,2015,usa
斯蒂芬·卓博斯基,雅各布·特伦布莱,2018-01-19,113.0,剧情 ,8.6,223076.0,奇迹男孩,19149,2018,usa
鲁伯特·瓦耶特,詹姆斯·弗兰科,2011-10-28,105.0,剧情 ,8.0,276193.0,猩球崛起,18436,2011,usa
盖·里奇,小罗伯特·唐尼,2012-01-15,129.0,动作 ,7.5,156189.0,大侦探福尔摩斯2,18807,2012,usa
布瑞克·埃斯纳尔,范·迪塞尔,2016-01-15,107.0,动作 ,5.8,39568.0,最后的巫师猎人,17989,2016,usa
罗兰·艾默里奇,查宁·塔图姆,2013-07-22,132.0,动作 ,7.3,87194.0,惊天危机,17727,2013,usa
盖瑞·罗斯,詹妮弗·劳伦斯,2012-06-14,142.0,动作 ,6.8,237174.0,饥饿游戏,17466,2012,usa
乔恩·费儒,小罗伯特·唐尼,2010-05-07,,动作 ,7.3,215194.0,钢铁侠2,17510,2010,usa
凯利·阿斯博瑞,黛米·洛瓦托,2017-04-21,90.0,喜剧 ,6.3,10972.0,蓝精灵：寻找神秘村,17393,2017,usa
谢尔盖·波德罗夫,杰夫·布里吉斯,2015-01-16,103.0,奇幻 ,5.0,24937.0,第七子：降魔之战,17294,2015,usa
蒂姆·约翰逊,吉姆·帕森斯,2015-04-24,94.0,喜剧 ,7.3,48426.0,疯狂外星人,17215,2015,usa
卡洛斯·沙尔丹哈,约翰·塞纳,2018-01-19,108.0,喜剧 ,7.2,30589.0,公牛历险记,17201,2018,usa
路易斯·莱特里尔,萨姆·沃辛顿,2010-04-16,106.0,动作 ,6.0,77718.0,诸神之战,17198,2010,usa
弗朗西斯·劳伦斯,詹妮弗·劳伦斯,2013-11-21,146.0,动作 ,7.3,159653.0,饥饿游戏2：星火燎原,17194,2013,usa
汤姆·提克威 ,汤姆·汉克斯,2013-01-31,134.0,剧情 ,8.0,295471.0,云图,17020,2013,usa
李安,乔·阿尔文,2016-11-11,113.0,剧情 ,8.4,244732.0,比利·林恩的中场战事,16518,2016,usa
威尔·古勒,詹姆斯·柯登,2018-03-02,95.0,喜剧 ,7.2,55198.0,比得兔,16839,2018,usa
贾斯汀·库泽尔 ,迈克尔·法斯宾德,2017-02-24,116.0,动作 ,5.3,70669.0,刺客信条,16104,2017,usa
肯尼思·布拉纳,克里斯·派恩,2014-01-17,105.0,剧情 ,5.7,27234.0,一触即发,16064,2014,usa
尼尔·布洛姆坎普,马特·达蒙,2013-09-05,109.0,剧情 ,6.2,66803.0,极乐空间,15976,2013,usa
乔纳森·里贝斯曼,萨姆·沃辛顿,2012-03-30,,动作 ,5.9,40364.0,诸神之怒,16030,2012,usa
迈克·内威尔,杰克·吉伦哈尔,2010-05-28,116.0,动作 ,7.1,95217.0,波斯王子：时之刃,15907,2010,usa
吕寅荣 ,杰克·布莱克,2016-01-29,95.0,喜剧 ,7.6,205268.0,功夫熊猫,15238,2008,usa
大卫·叶茨,丹尼尔·雷德克里夫,2009-07-15,,剧情 ,7.6,191298.0,哈利·波特与混血王子,15524,2009,usa
卡洛斯·沙尔丹哈 ,雷·罗马诺,2009-07-08,,喜剧 ,8.2,161462.0,冰川时代3,15075,2009,usa
韦斯·鲍尔,迪伦·奥布莱恩,2014-10-28,113.0,动作 ,6.8,127425.0,移动迷宫,15044,2014,usa
约瑟夫·科辛斯基,汤姆·克鲁斯,2013-05-10,124.0,动作 ,6.9,101104.0,遗落战境,14850,2013,usa
弗朗西斯·劳伦斯,詹妮弗·劳伦斯,2015-11-20,136.0,动作 ,6.2,73964.0,饥饿游戏3：嘲笑鸟（下）,14350,2015,usa
罗伯·明可夫,李连杰,2008-04-24,104.0,动作 ,5.4,114875.0,功夫之王,14583,2008,usa
史蒂文·斯皮尔伯格,鲁比·巴恩希尔,2016-10-14,117.0,奇幻 ,6.7,52720.0,圆梦巨人,14325,2016,usa
路易斯·莱特里尔,杰西·艾森伯格,2013-10-10,115.0,剧情 ,7.6,297449.0,惊天魔盗团,14300,2013,usa
帕特里克·休斯,瑞恩·雷诺兹,2017-09-22,118.0,喜剧 ,7.2,95265.0,王牌保镖,13967,2017,usa
卡洛斯·沙尔丹哈,杰西·艾森伯格,2011-04-08,96.0,喜剧 ,8.3,236289.0,里约大冒险,13981,2011,usa
加文·胡德,阿萨·巴特菲尔德,2014-01-07,114.0,动作 ,6.9,114124.0,安德的游戏,13876,2014,usa
米歇尔·贡德里,塞斯·罗根,2011-02-08,119.0,喜剧 ,5.7,65029.0,青蜂侠,13819,2011,usa
拉加·高斯内尔,尼尔·帕特里克·哈里斯,2013-09-12,105.0,喜剧 ,6.4,19796.0,蓝精灵2,13775,2013,usa
布莱恩·菲,欧文·威尔逊,2017-08-25,102.0,喜剧 ,7.0,23613.0,赛车总动员3：极速挑战,13705,2017,usa
