direct,actor,date,long,type,rate,comment_sum,name,money,year,country
宋晓飞 ,肖央,2016-12-30,116.0,喜剧,6.0,94740.0,情圣,65886,2016,cn
姜文,姜文,2010-12-16,132.0,剧情 ,8.7,776052.0,让子弹飞,65355,2010,cn
俞白眉 ,邓超,2015-12-24,124.0,喜剧,4.0,99544.0,恶棍天使,64959,2015,cn
冯小刚,徐帆,2010-07-22,139.0,剧情 ,7.5,242783.0,唐山大地震,65016,2010,cn
韩寒,冯绍峰,2014-07-24,104.0,剧情,7.1,427098.0,后会无期,62881,2014,cn
张艺谋,邓超,2018-09-30,116.0,剧情 ,7.4,203499.0,影,62828,2018,cn
文伟鸿,张家辉,2016-08-11,109.0,剧情 ,6.7,120619.0,使徒行者,60631,2016,cn
徐克,赵又廷,2018-07-27,132.0,动作 ,6.2,162730.0,狄仁杰之四大天王,60642,2018,cn
丁亮 ,张伟,2018-02-16,89.0,喜剧 ,6.8,9243.0,熊出没·变形记,60550,2018,cn
吴昱翰,黄才伦,2018-09-30,113.0,喜剧,5.0,72370.0,李茶的姑妈,60391,2018,cn
徐克,赵又廷,2013-09-28,133.0,动作 ,6.5,149708.0,狄仁杰之神都龙王,60078,2013,cn
张艺谋,克里斯蒂安·贝尔,2011-12-15,145.0,剧情 ,8.0,363218.0,金陵十三钗,59237,2011,cn
张一白,彭于晏,2014-12-05,119.0,爱情,5.3,164381.0,匆匆那年,58850,2014,cn
姜文,彭于晏,2018-07-13,137.0,剧情 ,7.2,251874.0,邪不压正,58348,2018,cn
梁旋 ,季冠霖,2016-07-08,105.0,剧情 ,6.7,283040.0,大鱼海棠,56533,2016,cn
王晶 ,甄子丹,2017-09-30,128.0,动作 ,7.2,171639.0,追龙,57465,2017,cn
郑保瑞,吴京,2015-06-18,120.0,剧情 ,7.3,111750.0,杀破狼2,56050,2015,cn
韦正,陈赫,2018-08-10,117.0,喜剧 ,3.0,186184.0,爱情公寓,55472,2018,cn
徐克,李连杰,2011-12-15,120.0,动作 ,6.7,194353.0,龙门飞甲,54031,2011,cn
吴京,吴京,2017-07-27,123.0,动作,7.1,570725.0,战狼,54555,2015,cn
陈可辛,黄晓明,2013-05-17,112.0,剧情,7.6,406323.0,中国合伙人,53880,2013,cn
马丁·坎贝尔,成龙,2017-09-30,113.0,动作 ,7.1,138120.0,英伦对决,53695,2017,cn
丁晟,成龙,2013-12-24,108.0,剧情 ,5.7,79718.0,警察故事2013,53439,2013,cn
陈凯歌,黄轩,2017-12-22,129.0,剧情 ,6.9,429242.0,妖猫传,52974,2017,cn
赵小丁 ,刘亦菲,2017-08-03,109.0,爱情 ,3.9,159470.0,三生三世十里桃花,53454,2017,cn
王晶 ,周润发,2016-02-08,112.0,喜剧 ,4.0,79608.0,澳门风云,52479,2014,cn
林永长 ,尚雯婕,2017-01-28,90.0,动画 ,6.4,9430.0,熊出没之奇幻空间,52249,2017,cn
郭敬明,杨幂,2014-07-17,126.0,剧情 ,4.3,146806.0,小时代3：刺金时代,52156,2014,cn
叶伟信,古天乐,2017-08-17,101.0,剧情 ,7.1,109798.0,杀破狼·贪狼,52157,2017,cn
薛晓路,汤唯,2013-03-21,123.0,喜剧 ,7.4,419458.0,北京遇上西雅图,52017,2013,cn
姜文,姜文,2014-12-18,140.0,剧情 ,6.4,203594.0,一步之遥,51495,2014,cn
韩延,李易峰,2018-06-29,132.0,剧情 ,7.3,258814.0,动物世界,50899,2018,cn
韩延,白百何,2015-08-13,128.0,喜剧 ,7.4,242244.0,滚蛋吧！肿瘤君,51181,2015,cn
郭敬明,杨幂,2015-07-09,116.0,喜剧 ,4.6,101997.0,小时代4：灵魂尽头,48842,2015,cn
苏有朋,陈都灵,2015-04-24,117.0,爱情,5.4,143116.0,左耳,48522,2015,cn
郭敬明,杨幂,2013-06-27,116.0,剧情 ,4.7,275349.0,小时代,48478,2013,cn
冯小刚,范冰冰,2016-11-18,140.0,剧情 ,6.7,177096.0,我不是潘金莲,48373,2016,cn
张嘉佳,梁朝伟,2016-12-23,128.0,喜剧 ,4.0,167841.0,摆渡人,48297,2016,cn
大鹏,大鹏,2017-09-29,117.0,喜剧 ,6.6,195263.0,缝纫机乐队,45671,2017,cn
冯小刚,葛优,2010-12-22,120.0,喜剧 ,6.5,247019.0,非诚勿扰2,47159,2010,cn
郭帆,周冬雨,2014-04-25,98.0,剧情 ,5.8,176994.0,同桌的你,45576,2014,cn
帕特里克·休斯,西尔维斯特·史泰龙,2014-09-01,126.0,动作 ,6.7,81052.0,敢死队3,45327,2014,cn
胡笳 ,杨颖,2015-01-30,88.0,喜剧,3.4,39579.0,奔跑吧！兄弟,44644,2015,cn
林德禄 ,古天乐,2018-09-14,97.0,剧情 ,5.6,45804.0,反贪风暴3,44081,2018,cn
宁海强 ,唐国强,2015-08-28,111.0,历史 ,4.8,12896.0,百团大战,41367,2015,cn
鲍德熹 ,陈坤,2015-02-19,118.0,动作 ,4.2,63247.0,钟馗伏魔：雪妖魔灵,40923,2015,cn
叶伟民,吴镇宇,2014-07-18,90.0,剧情 ,4.8,72285.0,京城81号,41232,2014,cn
陈思诚,梁家辉,2014-02-14,121.0,爱情,6.1,127123.0,北京爱情故事,40555,2014,cn
苏有朋,王凯,2017-03-31,112.0,剧情 ,6.4,176710.0,嫌疑人X的献身,40203,2017,cn
陈凯歌,王宝强,2015-07-03,123.0,喜剧 ,5.4,141268.0,道士下山,40078,2015,cn
邱礼涛,刘德华,2017-04-28,120.0,动作 ,6.3,73696.0,拆弹专家,40049,2017,cn
张之亮,范冰冰,2014-07-31,103.0,动作 ,3.7,62130.0,白发魔女传之明月天国,38915,2014,cn
郭敬明,范冰冰,2016-09-29,121.0,动画 ,3.8,102362.0,爵迹,38291,2016,cn
郑芬芬,张子枫,2018-08-17,115.0,喜剧 ,6.9,146796.0,快把我哥带走,37411,2018,cn
何炅,李易峰,2015-07-10,107.0,爱情,4.1,92961.0,栀子花开,37901,2015,cn
杨庆,陈坤,2016-04-01,98.0,剧情 ,7.2,215376.0,火锅英雄,37054,2016,cn
冯小刚,张国立,2012-11-29,146.0,剧情 ,7.5,163398.0,一九四二,37113,2012,cn
陈正道,杨子姗,2015-01-08,131.0,喜剧 ,7.2,223006.0,重返20岁,36612,2015,cn
刘镇伟,韩庚,2016-09-14,93.0,喜剧 ,3.6,48405.0,大话西游3,36605,2016,cn
任鹏远,徐峥,2018-04-28,114.0,剧情 ,5.7,108897.0,幕后玩家,35861,2018,cn
吴君如,吴君如,2017-12-29,88.0,喜剧 ,4.2,83057.0,妖铃铃,36304,2017,cn
