朱浩伟,杰西·艾森伯格,2016-06-24,130,剧情 ,6.6,155061,惊天魔盗团2
斯蒂文·S·迪奈特,约翰·博耶加,2018-03-23,111,动作 ,5.4,144575,环太平洋2：雷霆再起
艾里克斯·库兹曼,汤姆·克鲁斯,2017-06-09,110,动作 ,4.7,91618,新木乃伊
派蒂·杰金斯,盖尔·加朵,2017-06-02,141,动作 ,7.1,272389,神奇女侠
扎克·施奈德,本·阿弗莱克,2016-03-25,151,动作 ,6.7,167128,蝙蝠侠大战超人：正义黎明
吕寅荣,杰克·布莱克,2011-05-28,91,喜剧 ,8.0,295988,功夫熊猫2
拉斯·霍尔斯道姆,乔什·加德,2017-03-03,101,剧情 ,7.7,201239,一条狗的使命
大卫·叶茨,埃迪·雷德梅恩,2016-11-25,133,剧情 ,7.8,338542,神奇动物在哪里
詹姆斯·古恩,克里斯·帕拉特,2017-05-05,136,动作 ,8.0,270335,银河护卫队
比尔·康顿,艾玛·沃森,2017-03-17,129,爱情 ,7.1,204112,美女与野兽
罗兰·艾默里奇,约翰·库萨克,2009-11-13,158,动作 ,7.8,327333,2012世界末日
雷德利·斯科特,马特·达蒙,2015-11-25,144,剧情 ,8.4,349623,火星救援
马克·韦布,安德鲁·加菲尔德,2014-05-04,142,动作 ,7.3,152471,超凡蜘蛛侠2
李安,苏拉·沙玛,2012-11-22,127,剧情 ,9.0,717809,少年派的奇幻漂流
乔斯·韦登,小罗伯特·唐尼,2012-05-05,142,动作 ,8.1,391766,复仇者联盟
唐·霍尔 ,斯科特·安第斯,2015-02-28,102,喜剧 ,8.6,452393,超能陆战队
萨姆·门德斯,丹尼尔·克雷格,2015-11-13,148,动作 ,6.2,124628,007：幽灵党
巴里·索南菲尔德,威尔·史密斯,2012-05-25,103,喜剧 ,7.5,194798,黑衣人3
费格尔·雷利 ,杰森·苏戴奇斯,2016-05-20,97,喜剧 ,7.0,74950,愤怒的小鸟
罗兰·艾默里奇,利亚姆·海姆斯沃斯,2016-06-24,120,动作 ,5.6,84703,独立日：卷土重来
罗阿尔·乌索格,艾丽西亚·维坎德,2018-03-16,118,动作 ,6.0,100155,古墓丽影：源起之战
加里斯·爱德华斯,亚伦·泰勒-约翰逊,2014-06-13,123,动作 ,6.4,114468,哥斯拉
杰克·卡斯丹,道恩·强森,2018-01-12,119,动作 ,6.9,117500,勇敢者游戏：决战丛林
加里斯·爱德华斯,菲丽希缇·琼斯,2017-01-06,134,动作 ,7.3,125210,星球大战外传：侠盗一号
马修·沃恩,塔伦·埃格顿,2017-10-20,141,喜剧 ,6.9,224526,王牌特工2：黄金圈
罗伯·马歇尔,约翰尼·德普,2011-05-20,136,动作 ,7.5,229180,加勒比海盗4：惊涛怪浪
彼得·杰克逊,伊恩·麦克莱恩,2014-02-21,161,动作 ,8.2,218577,霍比特人2：史矛革之战
克里斯托弗·诺兰,莱昂纳多·迪卡普里奥,2010-09-01,148,剧情 ,9.3,966459,盗梦空间
帕特里克·休斯,西尔维斯特·史泰龙,2014-09-01,126,动作 ,6.7,81053,敢死队3
麦克·特米尔 ,阿兹·安萨里,2012-07-27,88,喜剧 ,8.0,158629,冰川时代4：大陆漂移
麦克·特米尔 ,西蒙·佩吉,2016-08-23,94,喜剧 ,6.7,47734,冰川时代5：星际碰撞
保罗·格林格拉斯,马特·达蒙,2016-08-23,123,动作 ,7.3,131437,谍影重重5
林诣彬,克里斯·派恩,2016-09-02,122,动作 ,7.3,102353,星际迷航3：超越星辰
凯尔·巴尔达 ,桑德拉·布洛克,2015-09-13,91,喜剧 ,7.4,154248,小黄人大眼萌
肯尼思·布拉纳,莉莉·詹姆斯,2015-03-13,106,爱情 ,6.8,134251,灰姑娘
阿方索·卡隆,桑德拉·布洛克,2013-11-19,91,科幻 ,7.8,278126,地心引力
迪安·德夫林,杰拉德·巴特勒,2017-10-27,109,动作 ,6.0,58182,全球风暴
梅尔·吉布森,安德鲁·加菲尔德,2016-12-08,139,剧情 ,8.7,386475,血战钢锯岭
林诣彬,范·迪塞尔,2013-07-26,130,动作 ,7.7,171596,速度与激情6
斯科特·沃,亚伦·保尔,2014-03-14,130,剧情 ,7.2,71597,极品飞车
鲍德熹 ,陈坤,2015-02-19,118,动作 ,4.2,63248,钟馗伏魔：雪妖魔灵
道格·里曼,汤姆·克鲁斯,2014-06-06,114,动作 ,8.1,281377,明日边缘
迈克尔·贝,希亚·拉博夫,2009-06-24,150,动作 ,7.6,246352,变形金刚2
迪恩·德布洛斯,杰伊·巴鲁切尔,2014-08-14,102,喜剧 ,7.9,151584,驯龙高手2
大卫·叶茨,丹尼尔·雷德克里夫,2011-08-04,130,剧情 ,8.7,330806,哈利·波特与死亡圣器(下)
陈凯歌,王宝强,2015-07-03,123,喜剧 ,5.4,141272,道士下山
柯克·德·米科 ,尼古拉斯·凯奇,2013-04-20,98,喜剧 ,8.7,433933,疯狂原始人
扎克·施奈德,亨利·卡维尔,2013-06-20,143,动作 ,6.9,138077,超人：钢铁之躯
戴夫·格林,梅根·福克斯,2016-07-02,113,喜剧 ,6.3,52619,忍者神龟2：破影而出
克里斯·雷纳德 ,路易·C·K,2016-08-02,87,喜剧 ,7.5,145238,爱宠大机密
詹姆斯·博宾,约翰尼·德普,2016-05-27,115,奇幻 ,6.7,87139,爱丽丝梦游仙境2：镜中奇遇记
乔纳森·里贝斯曼,梅根·福克斯,2014-10-31,101,喜剧 ,6.4,85632,忍者神龟：变种时代
布拉德·佩顿,道恩·强森,2012-02-10,94,动作 ,6.2,56723,地心历险记2：神秘岛
亚利桑德罗·冈萨雷斯·伊纳里图,莱昂纳多·迪卡普里奥,2016-03-18,156,剧情 ,7.8,238395,荒野猎人
萨姆·门德斯,丹尼尔·克雷格,2013-01-21,143,动作 ,7.0,179787,007：大破天幕杀机
J·J·艾布拉姆斯,克里斯·派恩,2013-05-28,132,动作 ,7.9,161034,星际迷航：暗黑无界
布拉德·伯德,格雷格·T·尼尔森,2018-06-22,118,喜剧 ,8.0,112913,超人总动员2
史蒂文·斯皮尔伯格,山姆·尼尔,2013-08-20,,科幻 ,8.0,184094,侏罗纪公园
阿兰·泰勒,克里斯·海姆斯沃斯,2013-11-08,112,动作 ,7.4,184328,雷神2：黑暗世界
大卫·叶茨,埃迪·雷德梅恩,2018-11-16,134,奇幻 ,7.2,133581,神奇动物：格林德沃之罪
巴巴克·纳加非,杰拉德·巴特勒,2016-04-08,98,动作 ,6.1,68784,伦敦陷落
克里斯托弗·诺兰,菲恩·怀特海德,2017-09-01,107,剧情 ,8.4,387808,敦刻尔克
丹尼斯·甘塞尔,杰森·斯坦森,2016-10-21,98,动作 ,5.6,60862,机械师2：复活
朱浩伟,道恩·强森,2013-04-15,107,动作 ,6.4,71980,特种部队2：全面反击
克里斯托弗·诺兰,克里斯蒂安·贝尔,2012-08-27,165,剧情 ,8.6,345683,蝙蝠侠：黑暗骑士崛起
西蒙·韦斯特,西尔维斯特·史泰龙,2012-09-04,103,动作 ,6.8,103475,敢死队2
皮埃尔·柯芬 ,史蒂夫·卡瑞尔,2014-01-10,99,喜剧 ,8.0,262509,神偷奶爸2
蒂姆·肯德尔,赵薇,2015-06-26,118,喜剧 ,4.4,65846,横冲直撞好莱坞
肖恩·利维,本·斯蒂勒,2015-01-04,98,喜剧 ,7.0,103747,博物馆奇妙夜3
彼得·杰克逊,伊恩·麦克莱恩,2013-02-22,169,动作 ,8.2,251914,霍比特人1：意外旅程
韦斯·鲍尔,迪伦·奥布莱恩,2018-01-26,142,动作 ,5.3,51129,移动迷宫3：死亡解药
何塞·帕迪里亚,乔尔·金纳曼,2014-02-28,117,动作 ,6.3,63301,机械战警
莫滕·泰杜姆,詹妮弗·劳伦斯,2017-01-13,116,科幻 ,6.9,132989,太空旅客
马克·韦布,安德鲁·加菲尔德,2014-05-04,142,动作 ,7.3,152471,超凡蜘蛛侠
雷德利·斯科特,迈克尔·法斯宾德,2017-06-16,122,科幻 ,7.3,160712,异形：契约
彼得·博格,泰勒·克奇,2012-04-18,132,动作 ,6.6,96581,超级战舰
罗伯特·斯特罗姆伯格,安吉丽娜·朱莉,2014-06-20,98,动作 ,6.9,130465,沉睡魔咒
大卫·叶茨,亚历山大·斯卡斯加德,2016-07-19,110,动作 ,6.0,32388,泰山归来：险战丛林
克里斯·巴克 ,克里斯汀·贝尔,2014-02-05,102,喜剧 ,8.3,348340,冰雪奇缘
莉莉·沃卓斯基 ,查宁·塔图姆,2015-03-06,126,动作 ,5.4,60871,木星上行
莱恩·约翰逊,马克·哈米尔,2018-01-05,152,动作 ,7.1,95945,星球大战：最后的绝地武士
安德鲁·斯坦顿,泰勒·克奇,2012-03-16,132,动作 ,6.3,50051,异星战场
袁和平,甄子丹,2016-02-19,103,剧情 ,4.7,29733,卧虎藏龙：青冥宝剑
安德鲁·斯坦顿 ,艾伦·德杰尼勒斯,2016-06-17,97,喜剧 ,7.4,63233,海底总动员2：多莉去哪儿
米凯尔·哈弗斯特罗姆,西尔维斯特·史泰龙,2013-11-04,116,动作 ,7.6,145220,金蝉脱壳
埃里克·达尼尔 ,汤姆·麦格拉思,2014-11-14,92,喜剧 ,7.5,84008,马达加斯加的企鹅
拉加·高斯内尔,尼尔·帕特里克·哈里斯,2011-08-10,103,喜剧 ,7.2,85221,蓝精灵
林诣彬,范·迪塞尔,2011-05-12,130,动作 ,8.4,232174,速度与激情5
埃里克松·科尔,卢克·布雷西,2015-12-04,113,动作 ,6.9,71327,极盗者
詹姆斯·曼高德,休·杰克曼,2013-10-17,126,动作 ,6.3,119868,金刚狼2
达米恩·查泽雷,瑞恩·高斯林,2017-02-14,128,剧情 ,8.3,428141,爱乐之城
