周星驰,15132
陈思诚,3590
吴京,6558
文牧野,1319
许诚毅,119
闫非 ,272
林超贤,1087
许诚毅,119
宋阳 ,667
迈克尔·贝,102
唐季礼,754
田羽生,188
徐克,1702
闫非 ,272
乌尔善,308
徐峥,9715
冯小刚,6989
黄渤,6102
刘若英,3564
徐峥,9715
郑保瑞,190
周星驰 ,15132
庄文强,415
张艺谋,4749
林超贤,1087
王晶 ,2396
大鹏,2531
宁浩,1607
韩寒,2737
吕寅荣 ,0
郑保瑞,190
李仁港,201
雷尼·哈林,0
王晶 ,2396
田晓鹏,111
管虎,1289
徐克,1702
苏伦,217
克里斯托弗·麦奎里,0
成龙,10971
张一白,343
陈思诚,3590
薛晓路,128
叶伟信,220
王宝强,6461
李芳芳,272
李仁港,201
郑保瑞,190
沙恩·布莱克,150
冯小刚,6989
让-雅克·阿诺,40
谢涤葵 ,169
丁晟,213
郭子健,167
乌尔善,308
梁乐民 ,0
陆川,1470
宋晓飞 ,0
俞白眉 ,590
俞白眉 ,590
姜文,3817
文伟鸿,0
冯小刚,6989
张艺谋,4749
韩寒,2737
丁亮 ,0
徐克,1702
吴昱翰,121
徐克,1702
张艺谋,4749
姜文,3817
张一白,343
梁旋 ,128
王晶 ,2396
韦正,232
徐克,1702
郑保瑞,190
吴京,6558
陈可辛,1333
丁晟,213
赵小丁 ,0
马丁·坎贝尔,0
陈凯歌,5284
林永长 ,0
郭敬明,4421
王晶 ,2396
叶伟信,220
薛晓路,128
姜文,3817
韩延,217
韩延,217
郭敬明,4421
郭敬明,4421
冯小刚,6989
张嘉佳,1914
苏有朋,1682
大鹏,2531
冯小刚,6989
郭帆,299
帕特里克·休斯,0
林德禄 ,0
胡笳 ,368
宁海强 ,0
叶伟民,281
鲍德熹 ,181
陈思诚,3590
苏有朋,1682
张之亮,0
邱礼涛,254
郭敬明,4421
陈凯歌,5284
郑芬芬,0
何炅,9989
杨庆,190
冯小刚,6989
陈正道,202
任鹏远,0
刘镇伟,745
吴君如,1475
落落,794
陈可辛,1333
杨文军 ,226
周拓如,0
蒂姆·肯德尔,0
洪金宝,5499
易小星,357
西蒙·韦斯特,0
滕华涛,599
袁锦麟,0
李晨,7051
张立嘉,75
钱嘉乐,3304
麦兆辉 ,212
曹保平,475
谢东燊,0
丁亮 ,0
袁和平,942
郭敬明,4421
孙健君,68
陈正道,202
张艺谋,4749
肖洋,231
丁亮 ,0
王家卫,2124
徐克,1702
顾长卫,1471
刘江,1065
许安,0
王子鸣,242
吴宇森,1248
徐静蕾,4884
陈德森,166
林玉芬,558
陈正道,202
路阳,287
管虎,1289
包贝尔,2077
吕乐,1296
王晶,2396
冯小刚,6989
袁和平,942
田羽生,188
丁亮 ,0
宁浩,1607
埃里克松·科尔,0
张艺谋,4749
吴宇森,1248
陈木胜,235
冯德伦,1533
吴有音,0
麦兆辉 ,212
叶伟信,220
饶晓志,0
邹佡,0
徐纪周,218
彭浩翔,304
韩杰,191
谢涤葵 ,169
彭三源,119
渡边信一郎,0
安相勋,0
钱人豪,126
杜琪峰,1254
林德禄 ,0
梁乐民 ,0
陈木胜,235
许宏宇,147
黄真真,168
麦兆辉 ,212
肖央,2093
尹鸿承,0
陈嘉上 ,340
陈国富 ,288
蔡岳勋,151
小沈阳,7075
卫铁,0
赵薇,9745
刘伟强,618
安东尼·罗素 ,0
韩三平 ,774
韩三平 ,774
F·加里·格雷,0
迈克尔·贝,102
温子仁,3067
鲁本·弗雷斯彻,0
胡安·安东尼奥·巴亚纳,0
拜伦·霍华德 ,0
迈克尔·贝,102
乔斯·韦登,0
胡安·安东尼奥·巴亚纳,0
安东尼·罗素 ,0
史蒂文·斯皮尔伯格,210
邓肯·琼斯,157
詹姆斯·卡梅隆,231
克里斯托弗·麦奎里,0
艾斯彭·山德伯格 ,0
李·昂克里奇 ,0
乔丹·沃格特-罗伯茨,0
保罗·安德森,0
D·J·卡卢索,0
张艺谋,4749
凯尔·巴尔达 ,0
乔·德特杜巴,0
布拉德·佩顿,0
迈克尔·贝,102
吕寅荣 ,0
雷尼·哈林,0
王家卫,2124
乔恩·费儒,211
克里斯托弗·麦奎里,0
