徐克,赵又廷,2013-09-28,133,动作 ,6.5,149708,狄仁杰之神都龙王
张艺谋,克里斯蒂安·贝尔,2011-12-15,145,剧情 ,8.0,363218,金陵十三钗
张一白,彭于晏,2014-12-05,119,爱情,5.3,164381,匆匆那年
姜文,彭于晏,2018-07-13,137,剧情 ,7.2,251874,邪不压正
梁旋 ,季冠霖,2016-07-08,105,剧情 ,6.7,283040,大鱼海棠
王晶 ,甄子丹,2017-09-30,128,动作 ,7.2,171639,追龙
郑保瑞,吴京,2015-06-18,120,剧情 ,7.3,111750,杀破狼2
韦正,陈赫,2018-08-10,117,喜剧 ,3.0,186184,爱情公寓
徐克,李连杰,2011-12-15,120,动作 ,6.7,194353,龙门飞甲
吴京,吴京,2017-07-27,123,动作,7.1,570725,战狼
陈可辛,黄晓明,2013-05-17,112,剧情,7.6,406323,中国合伙人
马丁·坎贝尔,成龙,2017-09-30,113,动作 ,7.1,138120,英伦对决
丁晟,成龙,2013-12-24,108,剧情 ,5.7,79718,警察故事2013
陈凯歌,黄轩,2017-12-22,129,剧情 ,6.9,429242,妖猫传
赵小丁 ,刘亦菲,2017-08-03,109,爱情 ,3.9,159470,三生三世十里桃花
王晶 ,周润发,2016-02-08,112,喜剧 ,4.0,79608,澳门风云
林永长 ,尚雯婕,2017-01-28,90,动画 ,6.4,9430,熊出没之奇幻空间
郭敬明,杨幂,2014-07-17,126,剧情 ,4.3,146806,小时代3：刺金时代
叶伟信,古天乐,2017-08-17,101,剧情 ,7.1,109798,杀破狼·贪狼
薛晓路,汤唯,2013-03-21,123,喜剧 ,7.4,419458,北京遇上西雅图
姜文,姜文,2014-12-18,140,剧情 ,6.4,203594,一步之遥
韩延,李易峰,2018-06-29,132,剧情 ,7.3,258814,动物世界
韩延,白百何,2015-08-13,128,喜剧 ,7.4,242244,滚蛋吧！肿瘤君
郭敬明,杨幂,2015-07-09,116,喜剧 ,4.6,101997,小时代4：灵魂尽头
苏有朋,陈都灵,2015-04-24,117,爱情,5.4,143116,左耳
郭敬明,杨幂,2013-06-27,116,剧情 ,4.7,275349,小时代
冯小刚,范冰冰,2016-11-18,140,剧情 ,6.7,177096,我不是潘金莲
